,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,-0.2755,Fri Dec 15 01:36:47 +0000 2017,0.768,0.232,0.0,You wouldn't like me when I'm GWUMPY https://t.co/BHtPRql80w,1,@BreitbartNews
1,0.0,Fri Dec 15 01:05:17 +0000 2017,1.0,0.0,0.0,Oh boy. https://t.co/rBFfKj849T,2,@BreitbartNews
2,0.0,Fri Dec 15 00:34:00 +0000 2017,1.0,0.0,0.0,"M A L E F E M I N I S T S
A
L
E
F
E
M
I
N
I
S
T
S

E V E R Y T I M E
V
E
R
Y
T
I
M
E https://t.co/uK7ehaFDQ1",3,@BreitbartNews
3,0.0,Fri Dec 15 00:00:47 +0000 2017,1.0,0.0,0.0,"When the left says ""Punch a Nazi,"" Dennis is somehow squarely in that category for them. https://t.co/sIJSdFQKEc",4,@BreitbartNews
4,0.0,Thu Dec 14 23:27:13 +0000 2017,1.0,0.0,0.0,Oh baby. https://t.co/Xexm6Y6QWs,5,@BreitbartNews
5,0.431,Thu Dec 14 22:54:40 +0000 2017,0.637,0.0,0.363,Can't feel bad about this... https://t.co/dgIqOnV4mc,6,@BreitbartNews
6,-0.4215,Thu Dec 14 22:47:31 +0000 2017,0.851,0.149,0.0,"NEW PODCAST: Australian geologist Ian Plimer explains to @JamesDelingpole why solar power is a waste of space
https://t.co/Vaq0I9HI7P",7,@BreitbartNews
7,0.0,Thu Dec 14 22:21:22 +0000 2017,1.0,0.0,0.0,"Disney’s move is not only a long overdue admission of the reality that cable TVs days are numbered, but by launchin… https://t.co/T7cCuVVe0q",8,@BreitbartNews
8,0.0,Thu Dec 14 21:47:17 +0000 2017,1.0,0.0,0.0,Ummmmm https://t.co/BjckmoKbKX,9,@BreitbartNews
9,0.0,Thu Dec 14 21:13:29 +0000 2017,1.0,0.0,0.0,Lel https://t.co/CnFXFONEVP,10,@BreitbartNews
10,0.0,Thu Dec 14 20:36:37 +0000 2017,1.0,0.0,0.0,Dun dun. https://t.co/LVdoF1rL9M,11,@BreitbartNews
11,-0.3595,Thu Dec 14 20:06:05 +0000 2017,0.707,0.293,0.0,No more woke tweets for you! https://t.co/ADMgVdHA0O,12,@BreitbartNews
12,0.0,Thu Dec 14 19:35:24 +0000 2017,1.0,0.0,0.0,Why wait? https://t.co/BVGEQTY23u,13,@BreitbartNews
13,0.0,Thu Dec 14 19:04:30 +0000 2017,1.0,0.0,0.0,Bye! https://t.co/qUDoGdKVQ5,14,@BreitbartNews
14,-0.3612,Thu Dec 14 18:33:26 +0000 2017,0.444,0.556,0.0,Witch hunt? https://t.co/Lk3yxomUOS,15,@BreitbartNews
15,0.0,Thu Dec 14 18:01:04 +0000 2017,1.0,0.0,0.0,SCOOOOOOOOOP https://t.co/LAz1QaHXJt,16,@BreitbartNews
16,0.6369,Thu Dec 14 16:40:32 +0000 2017,0.192,0.0,0.808,Glorious. https://t.co/0Z7KZmOnBM,17,@BreitbartNews
17,0.0,Thu Dec 14 16:10:40 +0000 2017,1.0,0.0,0.0,GalaxyBrain.jpg https://t.co/seHS9PLoJE,18,@BreitbartNews
18,0.0,Thu Dec 14 15:41:15 +0000 2017,1.0,0.0,0.0,Haxxed!? https://t.co/e6QOaX0H96,19,@BreitbartNews
19,0.0,Thu Dec 14 15:08:43 +0000 2017,1.0,0.0,0.0,Welp. https://t.co/4NddLmTWjj,20,@BreitbartNews
20,0.0,Thu Dec 14 14:38:47 +0000 2017,1.0,0.0,0.0,me irl https://t.co/IILBxF3Cdy,21,@BreitbartNews
21,0.0,Thu Dec 14 14:04:55 +0000 2017,1.0,0.0,0.0,Wire: MURDOCH FAMILY TAKES A BOW https://t.co/WskSe2Ct3n,22,@BreitbartNews
22,0.4003,Thu Dec 14 13:32:24 +0000 2017,0.52,0.0,0.48,"Well, that clears it up! https://t.co/pihQ9lGUVH",23,@BreitbartNews
23,0.0,Thu Dec 14 13:00:49 +0000 2017,1.0,0.0,0.0,"M A L E F E M I N I S T S
A
L
E
F
E
M
I
N
I
S
T
S

E V E R Y T I M E
V
E
R
Y
T
I
M
E https://t.co/y11XSOiZK9",24,@BreitbartNews
24,0.3612,Thu Dec 14 12:31:02 +0000 2017,0.615,0.0,0.385,Time to get praying. https://t.co/xZk6gHOXzD,25,@BreitbartNews
25,-0.4215,Thu Dec 14 12:01:19 +0000 2017,0.763,0.237,0.0,"Sadly, the answer will likely be more than zero. https://t.co/llOnnwjnyA",26,@BreitbartNews
26,0.4215,Thu Dec 14 04:50:47 +0000 2017,0.417,0.0,0.583,v. helpful https://t.co/PlnuPA2vbX,27,@BreitbartNews
27,0.0,Thu Dec 14 04:17:17 +0000 2017,1.0,0.0,0.0,That oughta fix everything. https://t.co/5IBfngM2eB,28,@BreitbartNews
28,0.0,Thu Dec 14 03:47:20 +0000 2017,1.0,0.0,0.0,Chain gang. https://t.co/2oejHp0Pl8,29,@BreitbartNews
29,0.0,Thu Dec 14 03:15:42 +0000 2017,1.0,0.0,0.0,Big f*dging deal. https://t.co/gMYd2EbfVA,30,@BreitbartNews
30,-0.765,Thu Dec 14 02:42:07 +0000 2017,0.732,0.268,0.0,"""McConnell spent millions upon millions of dollars in nasty ads to defeat Mo Brooks in the primary, because Brooks… https://t.co/JH6hzHWI59",31,@BreitbartNews
31,0.0,Thu Dec 14 02:06:44 +0000 2017,1.0,0.0,0.0,"When the left says ""Punch a Nazi,"" Dennis is somehow in that category for them. https://t.co/yHsQygsOwK",32,@BreitbartNews
32,0.0,Thu Dec 14 01:32:14 +0000 2017,1.0,0.0,0.0,Just a simple culture clash. https://t.co/RtVlDbuXRI,33,@BreitbartNews
